terms,abbreviations
Auroracoin,AUR
BitConnect,BCC
Bitcoin Cash,BCH
Bitcoin,BTCorXBT
Dash,DASH
Dogecoin,DOGEorXDG
EOS.IO,EOS
Ethereum Classic,ETC
Ether,ETH
Gridcoin,GRC
Litecoin,LTC
Coinye,KOIorCOYE
Mazacoin,MZC
Nano,Nano
Neo,NEO
Namecoin,NMC
NXT,Nxt
PotCoin,POT
Peercoin,PPC
Titcoin,TIT
USD Coin,USDC
Tether,USDT
Vertcoin,VTC
NEM,XEM
Stellar,XLM
Monero,XMR
Primecoin,XPM
Ripple,XRP
Verge,XVG
Zcash,ZEC
Bitcoin Improvement Proposal,BIP
Automatic Teller Machine for Bitcoin,BTM
Enterprise Ethereum Alliance,EEA
Ethereum Improvement Proposal,EIP
Fundamental Analysis,FA
Moving Average Convergence Divergence,MACD
Proof of Burn,PoB
Proof of Developer,PoD
Technical Analysis or Trend Analysis,TA
Coordinated Universal Time,UTC
Year to Date,YTD
Address,Addy
Application Programming Interface,API
Brute Force Attack,BFA
Bitcoin address format,Bech32
Developers Conference,DEVCON
Multi-Signature,Multi-sig
Secure Hash Acronym,SHA-256
Worldwide Developers Conference,WWDC
Anti-Money Laundering,AML
All-Time High,ATH
All-Time Low,ATL
Coinmarketcap,CMC
Decentralized Autonomous Initial Coin Offering,DAICO
Dollar Cost Averaging,DCA
Decentralized Finance,DeFi
Distributed Ledger Technology,DLT
Ethereum,ERC-20
NFT,ERC-721
Exchange-Traded Fund,ETF
Exchange-Traded Product,ETP
Conventional government-issued currency,FIAT
Initial Bounty Offering,IBO
Millibitcoin,mBTC
Pump-and-Dump scheme,PnD
MicroBitcoin,uBTC
Unspent Transaction,UXTO
"A person who spreads Fear, Uncertainty, and Doubt",FUDster
Explain It Like Iâ€™m 5,ELI5
Joy of Missing Out,JOMO
Know Your Customer,KYC
Lamborghini,Lambo
Think Long Term,TLT
One Cancels the Other,OCO
Ask Me Anything,AMA
Wrecked,REKT
The Onion Router,TOR
Crypto Twitter,CT
